That Awkward Moment,Desmond Schindler,6,44,107.59
Peppermint Soda (Diabolo menthe),Laney Lowndesbrough,10,45,160.25
"Perfect Couple, A",Loraine Petrelluzzi,16,34,154.21
"Hand of Death, The (Shao Lin men)",Antonetta Haysom,5,34,179.53
And Then There Was You,Dante Huzzay,6,50,89.92
Ed's Next Move,Theodoric Glazier,9,29,103.83
Blindness,Antoine Baddiley,9,73,85.18
Welcome to Woop-Woop,Maria Mohammad,15,24,121.38
Rapt,Orin Antoons,17,21,66.22
Not of This Earth,Avery How to preserve,7,56,129.64
Mega Python vs. Gatoroid,Octavia Lackie,10,62,209.31
"Cadaver Christmas, A",Nancy Percifull,19,76,56.52
Flaming Star,Willa Lyddiatt,11,56,51.36
Grand Prix,Hyacinthie Muckart,3,32,41.89
Evita,Jerrylee Kunc,6,47,174.69
All the King's Men,Kippie Nissle,5,65,141.95
"Hitman, The",Sal Casaroli,11,40,79.71
Pat Garrett and Billy the Kid,Aggie Trusler,6,65,249.08
Stella Maris,Otis Ortes,9,51,47.94
Raining Stones,Marissa Taile,17,44,197.31
Marmaduke,Austen Gwinnell,9,72,198.68
Murder on a Honeymoon,Aarika Romney,11,79,189.52
Street Kings,Clarisse Cramer,11,31,64.09
"Sun, The (Solntse)",Quintina Buddles,7,46,189.98
Imagine That,Gwyn Godard,10,77,187.52
Death of a Dynasty,Duke Tinton,9,21,218.83
"Thief of Paris, The (Le voleur)",Arty Gronauer,15,61,80.19
Flodder 3,Pattie Matushevich,10,50,148.17
"Beguiled, The",Ki Arnould,20,60,139.95
Shanghai Calling,Orion Croxford,13,66,132.81
Torrente 2: Misión Marbella,Nicolas Gabbot,8,69,224.37
Sydney White,Alistair Browett,16,61,62.38
My Friend Flicka,Verile Scipsey,3,66,68.47
To the Left of the Father (Lavoura Arcaica),Olivette Mullan,20,55,73.24
Jerusalema (Gangster's Paradise: Jerusalema),Guthry Skedgell,1,22,153.97
Todos eran culpables,Benyamin Sola,8,80,134.29
Mrs. Henderson Presents,Andrej Paffley,6,69,235.66
"Act in Question, The (Acto en cuestión, El)",Darryl Betts,6,24,192.24
"Captive, The",Gwenora Aubert,15,63,198.53
Higher Ground,Bear Ridgewell,19,39,124.36
David Cross: Bigger & Blackerer,Barry Barnet,20,42,183.64
Revenge of the Nerds IV: Nerds in Love,Steffie Bettley,9,40,233.52
Fuck,Bernette Gudger,1,57,59.33
"Horseman on the Roof, The (Hussard sur le toit, Le)",Guillema Lemonby,3,59,222.41
Voices of Iraq,Almeria Harrisson,17,54,216.47
Ten Minutes Older: The Cello,Lynda Ruoss,5,38,210.83
Desperate Search,Pearl McGinney,4,60,123.49
"Internship, The",Demetris Seamer,13,50,186.34
Men of War,Britta Blazhevich,13,28,249.75
Wild Side,Gorden Camber,9,34,137.31
Shake It (En kort en lang),Clarine Zelake,5,23,111.94
Confidentially Yours (Vivement dimanche!),Trumaine Glennie,3,44,70.96
None But the Lonely Heart,Rafaela Spirit,3,39,198.07
Black Dog,Syman Putton,16,23,195.52
Ball of Fire,Dedra Reeson,11,61,66.2
"Posto, Il",Retha Althorpe,5,54,55.83
Tango Kabaree,Harwilll Clemitt,4,70,244.76
"Christmas Carol: The Musical, A (Christmas Carol, A)",Cordie Gorvin,2,59,46.03
"Bachelor and the Bobby-Soxer, The",Karel Durant,11,20,39.67
Step Brothers,Hanson Lockie,5,38,231.39
Azumi,Jacklyn Finci,11,61,192.43
"March of the Movies (Film Parade, The)",Barbara Romanin,3,59,232.54
Mostly Martha (Bella Martha),Marietta Hawtrey,16,62,31.24
"Loves of Pharaoh, The (Das Weib des Pharao)",Delmore Whiteley,13,75,147.79
Downstairs,Anny Covelle,3,44,183.69
Devil Doll,Ephrem Doget,5,42,66.04
"What's New, Pussycat",Aili Wickliffe,1,79,103.91
Essex Boys,Benjy Algar,12,29,154.96
Main Street,Corissa Unitt,13,69,91.52
"Streetcar Named Desire, A",Risa Wallenger,18,59,64.56
Cencoroll,Elmore Lawton,17,27,242.26
"Leo's Room (Cuarto de Leo, El)",Winne Van Der Walt,3,67,97.88
"Phantom of the Opera, The",Alfons Barneville,7,41,141.61
